What level of spiritual maturity would you say that you are at?,How much of the Bible would you say that you have read?,How many days do you read the Bible in an average week?,How much of the Bible would you say that you have memorized?,Does baptism determine salvation? ,Is there one God with two persons?,Will everybody eventually go to heaven?,Was Jesus raised from the dead?,Was the curse of sin laid on Jesus on the cross?,Gentleness,Kindness ,Joyfulness,Patience,Compassion,Forgiveness,Empathy,Self control,Bible Knowledge
6,10,7,10,No,No,No,Yes,Yes,5,5,5,5,5,5,5,5,30
6,10,7,10,No,No,No,Yes,Yes,5,5,5,5,5,5,5,5,30
6,10,7,10,No,No,No,Yes,Yes,5,5,5,5,5,5,5,5,30
5,8,4,8,No,No,No,Yes,Yes,4.4,4.4,3.7,4.9,4.8,4.63,3.8,3.18,20
5,8,7,5,No,No,No,Yes,Yes,3.3,4.1,3.1,3.9,4.9,4.25,3.8,3.55,20
5,7,4,3,No,No,No,Yes,Yes,4.1,3.9,4.3,4.4,4,3.88,2.8,4.82,14
5,10,7,3,No,No,No,Yes,Yes,3.5,4.2,2.6,3.1,5,3.88,4.5,4.18,20
5,10,7,7,No,No,No,Yes,Yes,4.3,4.4,4.3,3.8,4.8,5,4.1,3.27,24
5,8,7,4,No,No,No,Yes,Yes,3.3,4.4,3.2,2.8,4,3.25,3.1,3.64,19
5,9,7,5,No,No,No,Yes,Yes,4,4.4,4.5,3.8,4.6,5,4,3.82,21
4,10,5,5,No,No,No,Yes,Yes,3.8,4.3,3.9,3.7,5,4.13,3.9,4.27,20
4,10,5,5,No,No,No,Yes,Yes,2.9,3.5,4,2.8,4.2,4.13,3,4,20
4,7,3,1,No,No,No,Yes,Yes,3.9,4.1,4.2,4.5,4.1,3.75,4.6,3.45,11
4,10,6,7,No,No,No,Yes,Yes,3.3,3.9,3.7,4,4,3,3,3.73,23
4,3,2,5,No,No,No,Yes,Yes,3.9,3.8,3.9,3.9,4.3,3.38,4.5,3.73,10
4,8,6,4,No,No,No,Yes,Yes,3.4,4.2,4.1,2.6,3.2,3.75,2.4,2.82,18
4,8,7,6,No,No,No,Yes,Yes,2.9,2.8,3.3,3.4,3.2,3.63,2.2,3.82,21
4,7,3,5,No,No,No,Yes,Yes,3.3,4.8,4.5,3.7,3.8,3.5,2.1,3.73,15
4,8,2,10,No,No,No,Yes,Yes,4.4,4.1,4.2,4.4,4.2,3.5,2.6,4,20
4,9,2,6,No,No,No,Yes,Yes,4.3,4.6,3.1,3.7,4.2,2.88,2.7,3.55,17
4,9,4,6,No,No,No,Yes,Yes,3.4,4.1,3.6,3.6,3.9,3.75,4.1,2.64,19
4,5,2,3,No,No,No,Yes,Yes,3.4,4.2,3.8,3.1,4.9,3.88,3.1,2.91,10
4,9,3,4,No,No,No,Yes,Yes,3.7,3.5,3.4,2.9,4.9,3.75,4.7,3.73,16
4,9,2,9,No,No,No,Yes,Yes,3.4,3.2,3.8,3.7,4.4,3.63,3.7,2.91,20
4,8,4,5,No,No,No,Yes,Yes,4.4,4.2,3.9,4.6,4.7,4.25,3.2,3.36,17
4,10,7,2,No,No,No,Yes,Yes,3.3,4.5,3.4,3.6,4.3,4,3.6,3.27,19
4,6,6,5,No,No,No,Yes,Yes,2.9,4.5,4.6,4.1,4.6,4.63,4.6,4.09,17
4,9,7,3,No,No,No,Yes,Yes,3.6,4.1,4.1,3.5,4.4,3.88,4.8,3.27,19
4,7,3,6,No,No,No,Yes,Yes,3.5,4.1,3.6,2.6,4.8,3.25,3.9,2.91,16
4,9,6,4,No,No,No,Yes,Yes,4.1,4.3,4.1,4.2,4.6,4.25,3.9,3.73,19
4,8,5,5,No,No,No,Yes,Yes,3.5,4.2,3.5,3.7,4.3,3.75,4.2,3.45,18
4,10,6,3,No,No,No,Yes,Yes,3.8,3.7,3.3,4.5,4.2,4.5,2.3,4.18,19
3,6,3,1,No,No,No,Yes,Yes,2,3.8,2.5,2.6,4.2,3,4.1,2.27,10
4,8,7,6,No,No,No,Yes,Yes,3.8,4.2,3.8,4.1,4.5,4.25,3.8,3.82,21
4,6,2,3,No,No,No,Yes,Yes,3.9,4.6,4.5,4,4.9,4.25,4.1,3.55,11
4,8,4,3,No,No,No,Yes,Yes,3.5,4.3,3.5,3,4.7,2.75,4.8,2.73,15
4,9,2,3,No,No,No,Yes,Yes,3,3.2,3.7,2.9,4.4,3.25,5,3.18,14
4,8,7,5,No,No,No,Yes,Yes,3.9,4.6,4.4,4.2,4.8,4.38,4.6,3.82,20
4,7,3,2,No,No,No,Yes,Yes,4.1,4.1,4.1,4.1,4.5,4.25,3.6,3.55,12
4,9,4,3,No,No,No,Yes,Yes,3.1,3.1,3.2,2.9,3.7,2.88,2.9,2.55,16
4,5,3,3,No,No,No,Yes,Yes,4.1,3.7,4.7,3.7,3.1,3.88,3.1,3.55,11
4,2,2,1,No,No,No,Yes,Yes,4.2,3.8,3.6,4.2,4,3,2.8,3.36,5
4,8,1,1,No,No,No,Yes,Yes,2.6,3.5,2.7,2.2,4,3.25,3.8,2.18,10
4,5,5,2,No,No,No,Yes,Yes,3.2,3.2,3.1,3.6,3.5,3,2.6,2.64,12
4,8,7,10,No,No,No,Yes,Yes,4,3.9,4.1,4.4,3.1,3.88,1.9,4.18,25
4,10,6,7,No,No,No,Yes,Yes,3.9,4.5,3.9,4.1,4.5,3.5,3.5,3.18,23
4,10,5,8,No,No,No,Yes,Yes,4.4,4,3.9,5,4.5,4.38,4.1,2.82,23
4,8,4,10,No,No,No,Yes,No,3.4,3.9,2.4,2.9,4.5,3.5,4.7,3.27,22
4,7,5,3,No,No,No,Yes,Yes,3,4.1,2.8,3.1,4.2,3,3.6,3.45,15
3,9,4,3,No,No,No,Yes,Yes,3.4,4.6,4.1,2.8,4.8,4.75,4.6,3.36,16
4,7,4,1,No,No,No,Yes,Yes,3.2,3.7,3.4,4.3,4.1,3.75,3.8,4.55,12
4,8,1,1,No,No,No,Yes,Yes,4.7,4.6,3.6,4.4,4.7,3.5,2.5,3.45,10
3,8,1,1,No,No,No,Yes,Yes,2.6,3.5,2.7,2.2,4,3.25,3.8,2.18,10
3,3,2,3,No,No,No,Yes,Yes,3.5,3.4,3.8,3.9,4,3.63,3.3,3.18,8
3,6,3,4,No,No,No,Yes,Yes,4.5,3.9,3.6,4.8,4.9,3.63,4.2,3.36,13
3,5,7,5,No,No,No,Yes,Yes,3.8,3.6,4.2,3.6,4.5,3.75,3.8,3.55,17
3,6,2,1,No,No,No,Yes,Yes,2.5,4.3,2.7,2.7,5,2.13,4.8,2.45,9
3,4,2,3,No,No,No,Yes,Yes,3.9,4.1,3.9,4,3.7,3.75,3.4,2.91,9
3,7,2,5,No,No,No,Yes,Yes,3,3.5,3.9,2.4,2.9,2,1.9,4,14
3,6,3,4,No,No,No,Yes,Yes,4,3.2,4.3,3.4,3.1,3.5,3.5,3,13
3,4,5,4,No,No,No,Yes,Yes,2.7,3.9,3.6,2.9,3.8,3.13,2.3,3.18,13
3,6,3,4,No,No,No,Yes,Yes,2.5,3.5,2.5,2.6,3.6,3,3.6,2.55,13
3,7,3,4,No,No,No,Yes,Yes,3.7,4.4,3.2,3.4,4.9,3.5,5,3,14
3,4,2,1,No,No,No,Yes,Yes,4.3,4,3.6,3.6,4,3.5,3,3.64,7
3,6,3,2,No,No,No,Yes,Yes,3.9,3.1,2.1,4,3.9,3.38,4,3.45,11
3,7,3,6,No,No,No,Yes,Yes,3,3.4,3.9,3.6,4.1,3.88,3.3,3.27,16
3,10,7,5,No,No,No,Yes,Yes,4,4.8,4,4.5,5,4.75,4,4.27,22
3,7,2,5,No,No,No,Yes,Yes,3.6,4.3,3.1,3.1,4.4,3.5,4.2,3.73,14
3,9,4,2,No,No,No,Yes,Yes,3.7,3.3,3.7,3.5,4.3,4.13,2.8,3.36,15
3,6,3,2,No,No,No,Yes,Yes,3.6,3.3,3.2,3.9,4.1,3.5,4.1,3.18,11
3,5,3,4,No,No,No,Yes,Yes,3.7,3.7,3.2,3.1,4.4,5,4.5,3.55,12
3,4,2,2,No,No,No,Yes,Yes,2.6,4.3,3.4,3.5,3.9,3.38,3.7,3.36,8
3,5,2,2,No,No,No,Yes,Yes,4.2,3.8,3,4.7,4,3,3.2,2.82,9
3,7,4,4,No,No,No,Yes,Yes,4.7,4.7,4.3,3.5,4.7,5,5,3.09,15
3,8,4,4,No,No,No,Yes,Yes,3.2,3.6,2.8,3.9,3.5,2.88,2.7,3,16
3,4,6,3,No,No,No,Yes,Yes,3.3,3.3,3.9,3.4,3.5,2.88,2.7,2.91,13
3,4,5,1,No,No,No,Yes,Yes,3.5,4.4,4.5,4.6,4.9,4.5,3.4,3.18,10
3,7,5,6,No,No,No,Yes,Yes,2.5,3.6,3.6,2.2,4.1,2.5,3.7,2.73,18
3,8,7,5,No,No,No,Yes,Yes,3.2,4.3,4.4,4.1,4.6,3.75,4.2,2.91,20
3,7,2,7,No,No,No,Yes,Yes,3.2,3.8,3.3,3.3,4,3.13,3.4,2.27,16
3,8,4,3,No,No,No,Yes,Yes,3.3,4.1,3.1,3.5,3.6,3.13,3.4,2.91,15
3,5,2,4,No,No,No,Yes,Yes,3.7,4,1.5,3.3,4.2,3,3.7,2.55,11
3,5,1,1,No,No,No,Yes,Yes,3.3,4.4,4.8,3.7,4.8,2.88,3.8,4.18,7
3,6,2,2,No,No,No,Yes,Yes,3.7,3.5,3.3,3,4.3,3.88,2.9,3.45,10
3,6,3,2,No,No,No,Yes,Yes,3.5,3.5,3.5,2.6,3,3.25,3,2.91,11
3,6,1,1,No,No,No,Yes,Yes,3.5,4.9,2.2,3.2,5,2.88,4.9,3.09,8
3,4,3,1,No,No,No,Yes,Yes,3.7,4,3.4,3.9,4.3,4.5,3.7,3.73,8
3,7,1,2,No,No,No,Yes,Yes,3.4,4.1,2.5,3.3,3.7,3.75,2.8,3.09,10
3,8,3,2,No,No,No,Yes,Yes,3.8,3.5,4,2.7,3.8,3.13,3.1,4.09,13
3,6,5,3,No,No,No,Yes,Yes,3.8,4,3.8,3.4,3.9,2.88,4,4,14
3,6,2,4,No,No,No,Yes,Yes,4.5,4,3.8,4.3,4.7,3.5,3.3,2.55,12
3,3,2,1,No,No,No,Yes,Yes,4.2,3.5,2.5,3.7,3.8,4,3.2,3.27,6
3,7,3,2,No,No,No,Yes,Yes,2.7,4.6,4.2,3.6,4.2,3.5,4.2,2.27,12
3,3,2,3,No,No,No,Yes,Yes,2.8,3.6,3.6,3.5,3.4,2.75,2.9,2.91,8
3,6,2,4,No,No,No,Yes,Yes,3.9,4.2,3.5,3.3,3.6,4.25,2.8,3.09,12
3,3,3,3,No,No,No,Yes,Yes,3.8,3.9,3.3,3.8,3.9,3.25,3.2,3.82,9
3,6,2,5,No,No,No,Yes,Yes,4,4.1,1.9,2.8,4.2,3.13,4.7,2.36,13
3,9,5,5,No,No,No,Yes,Yes,3.8,3.7,2.6,4,4.3,4.13,2.8,1.55,19
2,4,1,1,Yes,No,No,Yes,Yes,4,4.8,3.7,3.9,5,4.25,4.7,3,6
3,8,3,4,No,No,No,Yes,Yes,4.4,3.9,3.8,4.3,4.5,3,3.9,2.91,15
3,4,2,5,No,No,No,Yes,Yes,3.4,4.8,2.5,3.5,5,3.75,5,2.09,11
3,7,6,8,No,No,No,Yes,Yes,3.6,3.7,3,3.2,4.4,3.75,4.6,3.55,21
3,6,3,2,No,No,No,Yes,Yes,3.3,4.3,3,3.9,3.8,3.75,3,2.36,11
3,3,1,2,No,No,No,Yes,Yes,3.8,4.3,2.8,3.6,4.8,4,4.2,3.55,6
3,7,7,2,No,No,No,Yes,Yes,4,3.5,3.8,3.1,3.2,3.75,3,2.73,16
3,8,0,1,No,No,No,Yes,Yes,3.7,4.5,1.4,4.8,4.1,3.75,1.6,3.18,9
3,8,1,5,No,No,No,Yes,Yes,2.9,2.8,3.4,3,2.9,2.88,2.3,3,14
3,5,1,1,No,No,No,Yes,Yes,2.8,4.3,4.1,4.3,4.7,4,3.8,3.36,7
3,8,5,7,No,No,No,Yes,Yes,3.3,4.1,3,2.9,4.9,2.38,3.5,3.27,20
3,10,1,3,No,No,No,Yes,Yes,3.5,4.6,3.7,3.9,4.3,3.13,2.8,2.73,14
3,4,0,3,No,No,No,Yes,Yes,2.3,3.3,1.6,1.9,3,2.63,2.2,2.73,7
3,7,1,2,No,No,No,Yes,Yes,3,3.2,3.9,2.7,3.7,3.25,2.5,2.91,10
3,10,4,4,No,No,No,Yes,Yes,3.3,4.2,3.4,3.4,3.9,3.13,3.8,3.09,18
3,8,5,4,No,No,No,Yes,Yes,3.4,4.1,3.5,3.6,3.9,3.88,3.4,3,17
3,7,1,2,No,No,No,Yes,Yes,3,3.2,3.9,2.7,3.7,3.25,2.5,2.91,10
3,5,3,8,No,No,No,Yes,Yes,4.3,4.5,4.5,3.9,4,4.38,4.2,4.09,16
3,5,3,3,No,No,No,Yes,Yes,3.9,4.5,4.4,3.1,4.4,3,4,3.64,11
3,8,2,4,No,No,No,Yes,Yes,3.9,4.5,3.4,3.5,4.3,3.88,2.9,3.18,14
3,7,3,5,No,No,No,Yes,Yes,2.6,4.1,2.5,1.5,4.2,3.25,3.9,2.64,15
3,2,2,1,No,No,No,Yes,Yes,3.4,3.8,4.3,2.4,4.3,2.75,4.5,2.18,5
3,8,3,4,No,No,No,Yes,Yes,4.2,4.6,4,4.9,4.5,4.63,2.8,3.55,15
3,6,2,4,No,No,No,Yes,Yes,3.6,3.4,3.9,3.7,3.9,4,3.3,3.09,12
2,2,4,1,No,Yes,No,Yes,Yes,4.1,4.1,4.1,3.4,4.1,3.63,4.3,3.55,7
2,7,0,1,No,No,Yes,Yes,Yes,4.5,4,3.8,4.7,3.8,4.25,2.8,2.45,8
2,7,1,2,No,Yes,No,Yes,Yes,3.1,4.4,1.8,4,4,3.25,2.9,2.27,10
2,10,6,1,No,No,No,Yes,No,2.5,2.9,3.2,2.4,3.3,3.5,2.5,2.73,17
2,10,6,2,No,No,No,Yes,Yes,2.6,4.1,4.1,2.1,5,4.75,4.7,2.64,18
2,1,2,1,No,No,No,Yes,Yes,3.3,4,3.4,3.2,5,3.5,3.4,1.73,4
2,2,0,1,Yes,No,No,No,Yes,4,4.5,3.5,2.9,4.4,3,3.9,3.64,3
2,9,7,1,No,No,No,Yes,Yes,3.3,2.5,1.2,4.4,2.8,2.5,3.2,2.73,17
2,6,0,1,No,Yes,No,Yes,Yes,4.1,4.9,2.9,4,5,3.63,4.7,2.73,7
2,4,1,1,No,No,No,Yes,Yes,2.7,2.4,2.5,2.9,3.2,2,2.6,3,6
2,7,4,8,No,No,No,Yes,Yes,3.1,4.1,3.3,3.8,4.9,3.5,4.3,3.45,19
2,6,1,4,No,No,No,Yes,Yes,3.1,2.1,2.9,3.2,3.4,3.63,2.6,3,11
2,7,2,5,No,Yes,No,Yes,Yes,4,3.6,4.1,4,4.5,4.13,2.9,3.91,14
2,9,1,1,No,No,No,Yes,Yes,3.6,3.2,3.2,4.1,3.6,4.38,2.5,3.27,11
2,6,3,7,No,Yes,No,Yes,Yes,2.8,2.8,2.8,3.2,2.8,3.38,3.3,3,16
2,7,6,1,Yes,No,No,Yes,Yes,3.2,4,2.9,4.4,4.4,3.5,3.6,3.55,14
2,7,2,3,No,No,No,Yes,Yes,3.3,4.5,4.2,2.3,4.8,2.75,5,3.18,12
2,4,0,1,No,No,No,Yes,Yes,3.1,4,3.2,4.3,3.9,3.75,3.2,3.45,5
2,4,1,4,No,No,No,Yes,Yes,2.7,3.7,3.1,2.7,4.5,3,4.2,3.27,9
2,4,1,1,No,No,No,Yes,Yes,3.3,3.4,3.1,3.7,3.4,3,2.4,2.73,6
1,2,0,1,Yes,No,Yes,Yes,No,3.6,2.9,4.8,4,2.9,2.38,2.3,4.09,3
1,3,2,5,No,Yes,Yes,Yes,Yes,3.1,3.3,2.7,3.2,3.5,3.13,2.7,2,10
1,1,0,1,No,Yes,No,Yes,Yes,3.4,3.9,3.6,3.5,3.7,3.5,3.3,3,2
1,5,0,1,No,No,No,Yes,Yes,2.2,2.5,1.8,1.8,3.7,2.63,3.8,2,6
1,1,0,1,Yes,Yes,Yes,No,No,1,1,1,1,1,1,1,1,1
